event_id,date,latitude,longitude,state,district,trigger,landslide_type,fatalities,injuries,source,description
EVT001,2010-06-15,25.27,91.73,Meghalaya,East Khasi Hills,rainfall,debris_flow,2,5,GSI,Heavy monsoon rainfall triggered debris flow blockading road.
EVT002,2011-07-22,27.33,88.62,Sikkim,East Sikkim,rainfall,mudslide,0,0,NESAC,Road blocked for 2 days due to mudslide.
EVT003,2011-09-18,27.42,88.75,Sikkim,North Sikkim,earthquake,rockslide,12,30,media_report,Sikkim earthquake triggered massive rockslides.
EVT004,2012-08-05,26.14,91.73,Assam,Kamrup Metropolitan,rainfall,debris_flow,1,2,NASA_GLC,Landslide in urban hills of Guwahati.
EVT005,2013-06-25,24.82,93.95,Manipur,Imphal West,rainfall,translational,3,1,GSI,Translational slide damaged 5 houses.
EVT006,2014-07-11,25.67,94.10,Nagaland,Kohima,construction,mudslide,0,0,media_report,Road construction weakened slope causing mudslide.
EVT007,2015-08-19,27.58,91.86,Arunachal Pradesh,Tawang,rainfall,debris_flow,15,4,GSI,Massive debris flow wiped out labor camp.
EVT008,2016-07-02,23.73,92.72,Mizoram,Aizawl,rainfall,mudslide,4,10,NESAC,Urban landslide due to heavy rains and poor drainage.
EVT009,2017-06-13,25.18,93.01,Assam,Dima Hasao,rainfall,debris_flow,2,0,media_report,Railway line disrupted due to debris flow.
EVT010,2018-08-01,23.83,91.28,Tripura,West Tripura,rainfall,mudslide,0,0,GSI,Minor mudslide affecting local road.
EVT011,2019-07-15,27.08,93.61,Arunachal Pradesh,Papum Pare,rainfall,rockslide,5,2,media_report,Highway blocked by boulders.
EVT012,2020-06-20,25.57,91.88,Meghalaya,East Khasi Hills,rainfall,translational,1,1,NASA_GLC,Slope failure near residential area.
EVT013,2021-08-25,26.33,94.53,Nagaland,Mokokchung,deforestation,debris_flow,0,0,NESAC,Debris flow in deforested area.
EVT014,2022-05-15,25.18,93.01,Assam,Dima Hasao,rainfall,mudslide,3,15,GSI,Pre-monsoon rains caused massive damages to infrastructure.
EVT015,2022-06-30,24.82,93.95,Manipur,Noney,rainfall,debris_flow,61,18,media_report,Tupul railway station landslide disaster.
EVT016,2023-10-04,27.50,88.53,Sikkim,North Sikkim,rainfall,debris_flow,40,100,GSI,GLOF triggered massive landslides along Teesta river.
EVT017,2024-05-28,23.73,92.72,Mizoram,Aizawl,rainfall,mudslide,28,12,media_report,Cyclone Remal induced landslides in Aizawl.
EVT018,2010-07-10,27.26,92.42,Arunachal Pradesh,West Kameng,rainfall,rockslide,0,2,NASA_GLC,Boulders fell on vehicle.
EVT019,2011-06-22,25.45,92.20,Meghalaya,West Jaintia Hills,rainfall,debris_flow,1,0,NESAC,Mining area landslide.
EVT020,2012-09-05,24.33,93.68,Manipur,Churachandpur,rainfall,mudslide,0,0,GSI,Road subsidence and mudslide.
EVT021,2013-08-14,22.88,92.73,Mizoram,Lunglei,rainfall,translational,2,3,media_report,Houses collapsed due to slope failure.
EVT022,2014-06-25,25.90,93.73,Nagaland,Dimapur,rainfall,mudslide,0,1,NESAC,Minor mudslide in peri-urban area.
